Title	URL	ProDisURL	ResourceType	Citation	PubDate	CollectDateStart	CollectDateEnd	Producer	Distributor	Description	DataMethodType	Longitudinal	TimeSpan	Country	GeographicRegion	AdminLevel	UnitAnalysis	Language	Themes	Subjects	Restrictions	Collection	Notes	AddedUpdated
Aboriginal & Torres Strait Islander Data Archive	https://www.atsida.edu.au/node/849	https://www.atsida.edu.au/	Project or Pilot					University of Technology Sydney Library		Aboriginal and Torres Strait Islander people and issues relating to them continue to attract much study. But frequently, often due to ethical concerns intrinsic to small population research compounded by the particular aspects relating to indigenous peoples, Datasets are not made available for secondary analysis. It is important to collect and preserve these fragmented research resources and to make them available for further research, under appropriate protocols, so as to reduce the response burden on Australian Indigenous communities while enabling informed analysis and commentary in areas of national priority.				Australia, Torres Straits	Australia and New Zealand			English	Health, Indigenous Peoples, Socio-economic-cultural	health, employment, education, economics, history	Yes	AntiRacism	Dataset is not made accessible.	2023-05-08
Alaska Native Collaborative Hub for Research on Resilience (ANCHRR)	https://www.uaf.edu/canhr/index.php		Project or Pilot					Indian Health Service US		Reduce Alaska Native youth suicide risk and promote wellness. Develop and sustain capacity for health research that is community-driven, Alaska Native led, and grounded by Indigenous knowledge, language and culture. Collaborates with three Alaska regions: Yukon Kuskokwim, Bering Straits and Northwest Arctic.				United States of America	Northern America	State		English	Health, Indigenous Peoples	health, suicide, alcohol abuse		AntiRacism	data is under resources	2023-05-08
Black Women's Health Study (BWHS)	https://www.bu.edu/bwhs/for-researchers/data-requests/	https://www.bu.edu/bwhs/	Project or Pilot			1995		4TU.Centre for Research Data	Boston University Chobanian & Avedisian School of Medicine	59,000 women, longitudinal study		Yes	1995-present	United States of America	Northern America			English	Health	african americans, cancer, diabetes, womens health care	Yes	AntiRacism	data not hosted online	2023-05-08
Black Youth Project Survey: Original Research 2005	https://genforwardsurvey.com/byp-research/	http://blackyouthproject.com/	Dataset			2015		Black Youth Project	University of Chicago	A new national survey of young people ages 15-25. The new questionnaire includes both previously used questions from other surveys to allow for comparison across sample populations and new questions never asked of adolescents and young adults before			2015	United States of America	Northern America			English	Youth, Opinions and Social Attitudes	african americans, hispanic or latino americans, attitudes, opinions		AntiRacism		2023-05-08
California Health Interview Survey (CHIS)	https://healthpolicy.ucla.edu/our-work/california-health-interview-survey-chis/access-chis-data	http://healthpolicy.ucla.edu/chis/Pages/default.aspx	Project or Pilot			2001		UCLA Center for Health Policy Research, California Department of Public Health, California Department of Health Care Services		The nation's largest state health survey and a critical source of data on Californians as well as on the state's various racial and ethnic groups. CHIS is especially known for its hard-to-find data on ethnic subgroups and sexual minorities		Yes	2001-present,  2001-2010, 2011-present	United States of America	Northern America	County, Municipality, State		English	Health, Socio-economic-cultural	health behaviors, health insurance, employment, households, public assistance		AntiRacism		2023-05-08
Child Welfare Outcomes Report Data	https://cwoutcomes.acf.hhs.gov/cwodatasite/	https://www.acf.hhs.gov/cb/data-research/child-welfare-outcomes	Dataset					Administration for Children and Families Children's Bureau -US Department of Health and Human Services		Children's Bureau research on child welfare issues includes a series of annual Child Welfare Outcomes Reports to Congress. These reports include data from the Adoption and Foster Care Analysis and Reporting System (AFCARS) and the National Child Abuse and Neglect Data System (NCANDS). Analysis by race available.				United States of America	Northern America	State		English	Youth, Family and Marriage	adoption, child welfare, child abuse		AntiRacism		2023-05-08
Civil Rights Data Collection (CRDC)	https://www2.ed.gov/about/offices/list/ocr/data.html	https://www2.ed.gov/about/offices/list/ocr/data.html	Dataset			1968		Office for Civil Rights US Department of Education		Since 1968, the U.S. Department of Education (ED) has conducted the Civil Rights Data Collection (CRDC) to collect data on key education and civil rights issues in our nation's public schools. The collection was formerly administered as the Elementary and Secondary School Survey (E&S Survey). The CRDC collects a variety of information including student enrollment and educational programs and services, most of which is disaggregated by race/ethnicity, sex, limited English proficiency, and disability. The CRDC is a longstanding and important aspect of the ED Office for Civil Rights (OCR) overall strategy for administering and enforcing the civil rights statutes for which it is responsible. Information collected by the CRDC is also used by other ED offices as well as policymakers and researchers outside of ED.		Yes	1968-present	United States of America	Northern America			English	Civil and Political Rights, Socio-economic-cultural, Social Justice and Equality	education, public schools, student enrollment, corporal punishment, disabled persons		AntiRacism		2023-05-08
Collaborative Psychiatric Epidemiology Surveys (CPES), 2001-2003 [United States] (ICPSR 20240)	https://www.icpsr.umich.edu/web/ICPSR/studies/20240		Dataset					David Takeuchi, Margarita Alegria, Ronald C Kessler, James Sidney Jackson		The Collaborative Psychiatric Epidemiology Surveys (CPES) were initiated in recognition of the need for contemporary, comprehensive epidemiological data regarding the distributions, correlates and risk factors of mental disorders among the general population with special emphasis on minority groups.				United States of America	Northern America			English	Health	mental disorders, psychiatry, minorities	Yes	AntiRacism		2023-05-08
Count Love: Protests for a Kinder World	https://countlove.org/data/data.csv	https://countlove.org/	Dataset			2017	2021	Nathan Perkins, Tommy Leung	CountLove.org	Data, visualizations based upon news reports of protests supporting racial justice, compassionate immigration, gun control, healthcare access, education funding, and the environment. Data includes attendees, attendees per capita, protests are coded by category, cartograms provided links to news reporting. Between January 2017 and January 2021, thousands of local news sources in the United States reported on over 42,000 protests about topics such as civil rights, immigration, guns, and the environment. Given the vast number of local journalists that report on protests daily, extracting these events as structured data to understand temporal and geographic trends can empower civic decision-making. However, the task of extracting events from news articles presents well known challenges to the NLP community in the fields of domain detection, slot filling, and coreference resolution. To help improve the resources available for extracting structured data from news stories, our contribution is three-fold. We 1) release a manually labeled dataset of news article URLs, dates, locations, crowd size estimates, and 494 discrete descriptive tags corresponding to 42,347 reported protest events in the United States between January 2017 and January 2021; 2) describe the semi-automated data collection pipeline used to discover, sort, and review the 144,568 English articles that comprise the dataset; and 3) benchmark a long-short term memory (LSTM) low dimensional classifier that demonstrates the utility of processing news articles based on syntactic structures, such as paragraphs and sentences, to count the number of reported protest events. 			2017-2021	United States of America	Northern America			English	Health, Social Justice and Equality, Migration and Immigration, Racism	race relations, immigration, education, gun control, healthcare, climate change		AntiRacism		2023-05-08
COVID Racial Data Tracker	https://covidtracking.com/about-data/data-summary/#covid-racial-data-tracker	https://covidtracking.com/race	Dataset			2020	2021	COVID Tracking Project		The COVID Racial Data Tracker is a collaboration between the COVID Tracking Project and the Boston University Center for Antiracist Research. Together, we’re gathering the most complete and up-to-date race and ethnicity data on COVID-19 in the United States. As of March 7, 2021 we are no longer collecting new data.		No	2020-2021	United States of America	Northern America			English	Health, Discrimination, Racism	covid-19, race, discrimination, pandemic		AntiRacism		2023-05-08
