Title	URL	ResourceType	Citation	PubDate	CollectDateStart	CollectDateEnd	Producer	Distributor	Description	DataMethodType	Longitudinal	TimeSpan	Country	GeographicRegion	AdminLevel	UnitAnalysis	Language	Themes	Subjects	Restrictions	Notes	AddedUpdated
Affirmatively Furthering Fair Housing (AFFH) Data	https://doi.org/10.3886/E102740V2	Dataset	United States. Department of Housing and Urban Development. Affirmatively Furthering Fair Housing (AFFH) Data. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2018-08-16. https://doi.org/10.3886/E102740V2	2018	2016	2020	United States Department of Housing and Urban Development	Inter university Consortium for Political and Social Research ICPSR	Affirmatively Furthering Fair Housing (AFFH) is a legal requirement that federal agencies and federal grantees further the purposes of the Fair Housing Act. This obligation to affirmatively further fair housing has been in the Fair Housing Act since 1968 (for further information see Title VIII of the Civil Rights Act of 1968, 42 U.S.C. 3608 and Executive Order 12892). HUD's AFFH rule provides an effective planning approach to aid program participants in taking meaningful actions to overcome historic patterns of segregation, promote fair housing choice, and foster inclusive communities that are free from discrimination. As provided in the rule, AFFH means "taking meaningful actions, in addition to combating discrimination, that overcome patterns of segregation and foster inclusive communities free from barriers that restrict access to opportunity based on protected characteristics. Specifically, affirmatively furthering fair housing means taking meaningful actions that, taken together, address significant disparities in housing needs and in access to opportunity, replacing segregated living patterns with truly integrated and balanced living patterns, transforming racially and ethnically concentrated areas of poverty into areas of opportunity, and fostering and maintaining compliance with civil rights and fair housing laws. The duty to affirmatively further fair housing extends to all of a program participant's activities and programs relating to housing and urban development."	Quantitative	No		United States of America				English					2025-05-20
American Mosaic Project: A National Survey on Diversity	https://www.thearda.com/data-archive?fid=MOSAIC	Dataset	Hartmann, D., Edgell, P., & Gerteis, J. (2020, January 10). American Mosaic Project - A National Survey on Diversity.	2020	2003	2003	University of Wisconsin	The Association of Religion Data Archives	Multiyear, multi-method study of the bases of solidarity and diversity in American life. Designed to gather data on attitudes about race, religion, politics and American identity as well as demographic information and social networks.   	Quantitative	No		United States of America		Nation		English					2025-06-09
Longitudinal Study of Indigenous Children (LSIC)	https://ada.edu.au/lsic/	Dataset		2008					Follows the development of around 1,700 Aboriginal and Torres Strait Islander children and their families across urban, regional and remote Australia. It is one of the largest longitudinal studies of Indigenous people worldwide.  		Yes	2008-Present	Australia				English					2025-06-13
Annual Survey of Jails: Individual Reporting-Level Data (2007)	https://bjsasj.rti.org/	Dataset							The Annual Survey of Jails (ASJ) is the only data collection effort that provides an annual source of data on local jails and jail inmates. Data on the size of the jail population and selected inmate characteristics are obtained every 5 to 6 years from the Census of Jails. In each of the years between the full censuses, a sample survey of jails is conducted to estimate baseline characteristics of the Nation's jails and inmates housed in these jails. The ASJ supplies data on characteristics of jails such as admissions and releases, growth in the number of jail facilities, changes in their rated capacities and level of occupancy, growth in the population supervised in the community, changes in methods of community supervision, and crowding issues. Also provides information on changes in the demographics of the jail population, supervision status of persons held, and a count of non-citizens in custody. Used to track growth in the number of jails and the capacities nationally, changes in the demographics of the jail population and supervision status of persons held, the prevalence of crowding issues, and a count of non-United States citizens within the jail population.  	Quantitative	Yes		United States of America				English					2025-06-12
Indigenous Peoples and Afro-descendants in Latin America and the Caribbean Data bank - PIAALC	https://www.cepal.org/es/temas/pueblos-indigenas-afrodescendientes	Dataset							Contains different subsystems of information that were created on the basis of several projects developed by the Division in recent years. Includes statistics on population, education, health, labor, and migration.   	Quantitative			Bolivia; Brazil; Chile; Colombia; Costa Rica; Ecuador; Guatemala; Honduras; Mexico; Nicaragua; Panama; Paraguay; Peru; Uruguay; Venezuela									2025-06-20
Ethnologue: Languages of the World	https://www.ethnologue.com/	Dataset		1951-Present	1951				An encyclopedic reference work cataloging all of the world's 6,909 known living languages. Searchable by country, language size, and language family.  	Quantitative	Yes	1951- Present	Global				English					2025-07-16
Rise of Ethnic Politics in Latin America	https://doi.org/10.5064/F6MS3QNV	Dataset		2016	2002	2012		Qualitative Data Repository	This research, which was eventually published in a 2012 book by Cambridge University Press entitled The Rise of Ethnic Politics in Latin America, focused on the emergence of indigenous parties in Latin America. Specifically, it sought to explain why some parties based in the indigenous population succeeded while others failed.	Qualitative	No	1980-2012	Bolivia; Ecuador; Guatemala	Latin America and the Caribbean			Spanish; Castilian	Movements	protest movements			
Survey on the Vitality of Official Language Minorities (2006) [Canada]	https://doi.org/10.5683/SP3/NTNUUB	Dataset		2007	2006	2006	Statistics Canada	Odesi	Pertains to the vitality of Canada's official-language minorities, namely English-speakers in Quebec and French-speakers outside Quebec. The information collected allows for a more in-depth understanding of the current situation of individuals who belong to these groups on priority issues such as instruction in the language of the minority or access to different services in the language of the minority (i.e., health care), as well as language practices both at home and outside of the home. The survey's target population consists of 2 groups: persons under the age of 18 in households where at least one parent belongs to the official-language minority and persons aged 18 and over who belong to the official-language minority in the 10 provinces and the 3 territories. Persons living in collective dwellings and on Indian reserves are excluded.   	Quantitative	No		Canada		Province	Individual	English					2025-07-16
U. S. Census - IPUMS.  1850+	https://usa.ipums.org/usa/	Data Database	IPUMS USA, University of Minnesota, www.ipums.org.	2000	1850		University of Minnesota	IPUMS	IPUMS USA (originally, the "Integrated Public Use Microdata Series") is a website and database providing access to over sixty integrated, high-precision samples of the American population drawn from sixteen federal censuses, from the American Community Surveys of 2000-present, and from the Puerto Rican Community Surveys of 2005-present. 	Quantitative	Yes	1850-Present	United States of America	Northern America	Census Section	Individual	English	Demographic and Vital Statistics		Yes	Microdata prior to 2000 is limited	2025-07-16
American Indian mortality project, 1969-1971 	https://dss.princeton.edu/catalog/resource2337	Dataset	Klimas, A. C. (1981). American Indian mortality project, 1969-1971. Ann C. Klimas [distributor].	1981	1969	1971	Ann C Klimas	Princeton University		Quantitative	Yes	1969-1971	United States of America									
