Field Names;Description;Link to CV
Title;Title of the resource;N/A
URL;URL, DOI or permanent link (if available) for accessing the resource;N/A
ProDisURL;Additional URL, DOI or permanent link for the producer or distributor;N/A
ResourceType;Type of the data or resource, such as a dataset, project, geospatial, or guide. For more information, go to the linked ResourceType sheet.;gid=2086916291#gid=2086916291
Citation;Citation for publication or report (any style provided) or a resource with an available citation;N/A
PubDate;Publication or distribution date in year (YYYY);N/A
CollectDateStart;Start date of data collection period in year (YYYY);N/A
CollectDateEnd;End date of data collection period in year (YYYY). For a longitudinal study that is still ongoing this is blank.;N/A
Producer;Person or organization that authored, collected, compiled, produced, sponsored or created the resource. A resource may have an entry for a Producer or a Distributor or for both. For more information, go to the linked Producer or Distributor sheet.;gid=1673942145#gid=1673942145
Distributor;Person or organization that is hosting, publishing, disseminating, or giving access to the resource, such as a repository. For more information, go to the linked Producer or Distributor sheet.;gid=1673942145#gid=1673942145
Description;Description of the the resource;N/A
TimeSpan;Time span that is covered or the date coverage.;N/A
Longitudinal;Data that is collected over time (longitudinal) and can include times series and studies with multiple waves.;N/A
DataMethodType;The data type or method of data collection is quantitative (numeric, survey, etc.), qualitative (text, interview, etc.) or both (mixed).;N/A
Country;Country, area (native terrorities), or group of countries (e.g. European Union) that is covered by the data or resource. For more information, go to the linked Country sheet.;gid=1131021598#gid=1131021598
GeographicRegion;Name of the geographic region that is covered or All Regions for global coverage. For more information, go to the linked GeographicRegion sheet.;gid=990806825#gid=990806825
AdminLevel;Administrative or governance level or unit, such as village, district, state, or nation. Use for Data only. For more information, go to the linked AdminLevel sheet.;gid=424615768#gid=424615768
UnitAnalysis;The unit for which the data or its variables can be analyzed or the unit of observation (if available). For more information, go to the linked UnitAnalysis sheet.;gid=63348179#gid=63348179
Language;The language of the data, documentation or resource type. For more information, go to the linked Language sheet.;gid=1322680844#gid=1322680844
Themes;One or several themes are assigned to a resource by IASSIST members based on the focus and scope of the dataset. For more information, go to the linked Themes sheet.;gid=1843744120#gid=1843744120
Subjects;Subjects are terms assigned by IASSIST members for what the data and resource are about that are relevant for the dataset themes. For more information, go to the linked Subjects sheet.;gid=549587373#gid=549587373
Restrictions;Some data may be restricted in use. This could mean that the data are available only through member organization, by paid subscription, or the user needs to meet certain conditions (other than registration) to use the data.;N/A
Notes;Open field for any useful links, notes or comments, and they can provide more information for information entered for a field.;N/A
AddedUpdated;Date when entry was added or last updated. Format is YYYY-MM-DD.;N/A
